time,102_boost_pressure,105_intake_manfold_1_temperature,110_engine_coolant_temperature,175_engine_oil_temperature_1,183_fuel_rate,184_instantaneous_fuel_economy,185_average_fuel_economy,595_cruise_control_active,596_cruise_control_enable_switch,597_brake_switch,598_clutch_switch,599_cruise_control_set_switch,600_cruise_control_coast_switch,602_cruise_control_accelerate_switch,70_parking_brake_switch,84_vehicle_speed,86_cruise_control_set_speed
2025-10-26 00:07:51,0,58,86,1774.969,3.75,0,3.221,3,3,0,1,3,3,3,0,0,255
2025-10-26 00:08:51,0,46,85,1774.969,4.8,0.377,3.219,3,3,0,1,3,3,3,0,1.797,255
2025-10-26 00:09:51,2,42,82,1774.969,4.5,0.395,3.219,3,3,0,1,3,3,3,0,1.719,255
2025-10-26 00:10:51,0,39,84,1774.969,4.4,0.102,3.219,3,3,0,1,3,3,3,0,0.578,255
2025-10-26 00:11:51,0,48,85,1774.969,0,125.5,3.219,3,3,0,0,3,3,3,1,0,255
2025-10-26 00:12:51,0,48,,,0,125.5,3.219,3,3,0,0,3,3,3,1,0,255
2025-10-26 04:48:29,0,30,41,1774.969,5,0,3.219,3,3,0,0,3,3,3,1,0,255
2025-10-26 04:49:29,0,28,48,1774.969,5,0,3.219,3,3,0,0,3,3,3,1,0,255
2025-10-26 04:50:29,0,27,55,1774.969,4.95,0,3.219,3,3,0,0,3,3,3,1,0,255
2025-10-26 04:51:29,2,25,60,1774.969,2.1,6.543,3.219,3,3,0,1,3,3,3,0,13.797,255
2025-10-26 04:52:29,74,31,74,1774.969,23.7,1.539,3.219,3,3,0,1,3,3,3,0,36.406,255
2025-10-26 04:53:29,82,30,85,1774.969,20.2,2.1,3.221,3,3,0,0,3,3,3,0,42.391,255
2025-10-26 04:54:27,74,32,83,1774.969,18.45,2.436,3.219,3,3,0,0,3,3,3,0,45.109,255
2025-10-26 04:55:27,88,36,87,1774.969,23.3,2.146,3.221,3,3,0,0,3,3,3,0,50.172,255
2025-10-26 04:56:27,52,35,86,1774.969,7.5,6.666,3.219,3,3,0,0,3,3,3,0,49.906,255
2025-10-26 04:57:27,100,36,86,1774.969,26.35,1.951,3.219,3,3,0,0,3,3,3,0,51.563,255
2025-10-26 04:58:27,94,39,88,1774.969,18.3,2.572,3.219,3,3,0,0,3,3,3,0,47.344,255
2025-10-26 04:59:27,74,35,85,1774.969,20,2.498,3.219,3,3,0,0,3,3,3,0,50.109,255
2025-10-26 05:00:27,104,36,86,1774.969,25.25,1.879,3.219,3,3,0,0,3,3,3,0,47.625,255
2025-10-26 05:01:27,94,38,88,1774.969,21.15,2.434,3.219,3,3,0,0,3,3,3,0,51.422,255
2025-10-26 05:02:27,108,38,88,1774.969,22.8,2.104,3.219,3,3,0,0,3,3,3,0,48.281,255
2025-10-26 05:03:22,28,38,89,1774.969,13.6,3.77,3.219,3,3,0,0,3,3,3,0,51.5,255
2025-10-26 05:04:22,74,38,89,1774.969,16.6,3.113,3.219,3,3,0,0,3,3,3,0,51.844,255
2025-10-26 05:05:22,76,37,88,1774.969,17.95,2.881,3.219,3,3,0,0,3,3,3,0,51.781,255
2025-10-26 05:06:22,10,37,87,1774.969,0,125.5,3.219,3,3,0,1,3,3,3,0,30.188,255
2025-10-26 05:07:22,32,43,90,1774.969,22.4,1.264,3.219,3,3,0,1,3,3,3,0,28.25,255
2025-10-26 05:08:22,122,44,90,1774.969,28.75,1.09,3.219,3,3,0,0,3,3,3,0,31.328,255
