time,speed,devbattery,carbattery,ignstatus,latitude,longitude
2025-10-26 00:00:21,0,4.11,27.16,1,18.762966,73.093493
2025-10-26 00:00:51,0,4.11,26.92,1,18.762964,73.093495
2025-10-26 00:01:21,0,4.11,26.8,1,18.762964,73.093496
2025-10-26 00:01:51,0,4.11,26.75,1,18.762963,73.093494
2025-10-26 00:02:21,0,4.1,26.65,1,18.762963,73.093494
2025-10-26 00:02:51,0,4.11,26.61,1,18.762962,73.093494
2025-10-26 00:03:21,0,4.11,26.58,1,18.762961,73.093496
2025-10-26 00:03:51,0,4.11,26.53,1,18.762963,73.093495
2025-10-26 00:04:21,0,4.11,26.51,1,18.762961,73.093494
2025-10-26 00:04:51,0,4.11,26.51,1,18.762963,73.093496
2025-10-26 00:05:21,0,4.11,26.46,1,18.762964,73.093494
2025-10-26 00:05:51,0,4.1,26.46,1,18.762962,73.093496
2025-10-26 00:06:21,0,4.11,26.44,1,18.762965,73.093495
2025-10-26 00:06:51,0,4.1,26.39,1,18.762965,73.093494
2025-10-26 00:07:21,0,4.11,26.39,1,18.762966,73.093493
2025-10-26 00:07:51,0,4.11,26.39,1,18.762965,73.093495
2025-10-26 00:08:21,0,4.11,26.37,1,18.762965,73.093493
2025-10-26 00:08:51,0,4.11,26.39,1,18.762966,73.093493
2025-10-26 00:09:21,0,4.11,26.37,1,18.762966,73.093492
2025-10-26 00:09:51,0,4.1,26.37,1,18.762958,73.093495
2025-10-26 00:10:21,0,4.11,26.39,1,18.762945,73.093494
2025-10-26 00:10:51,0,4.11,26.32,1,18.762949,73.093497
2025-10-26 00:11:21,0,4.11,26.34,1,18.762952,73.093507
2025-10-26 00:11:51,0,4.11,26.37,1,18.762947,73.093499
2025-10-26 00:12:21,0,4.11,26.34,1,18.762945,73.093491
2025-10-26 00:12:51,0,4.11,26.34,1,18.762952,73.093501
2025-10-26 00:13:21,0,4.11,26.32,1,18.762949,73.093502
2025-10-26 00:13:51,0,4.11,26.32,1,18.76294,73.093502
2025-10-26 00:14:21,0,4.11,26.32,1,18.762925,73.093488
2025-10-26 00:14:51,0,4.11,26.32,1,18.762927,73.093479
2025-10-26 00:15:21,0,4.11,26.32,1,18.76293,73.09349
2025-10-26 00:15:51,0,4.11,26.29,1,18.762929,73.093492
2025-10-26 00:16:21,0,4.11,26.29,1,18.762922,73.09349
2025-10-26 00:16:51,0,4.11,26.29,1,18.762929,73.093485
2025-10-26 00:17:21,0,4.11,26.27,1,18.762934,73.093487
2025-10-26 00:17:51,0,4.11,26.29,1,18.762926,73.093495
2025-10-26 00:18:21,0,4.11,26.29,1,18.762937,73.093486
2025-10-26 00:18:51,0,4.11,26.24,1,18.762943,73.093483
2025-10-26 00:19:21,0,4.11,26.27,1,18.762947,73.093487
2025-10-26 00:19:51,0,4.11,26.29,1,18.762947,73.093484
2025-10-26 00:20:21,0,4.11,26.27,1,18.762947,73.093494
2025-10-26 00:20:51,0,4.11,26.27,1,18.762949,73.093489
2025-10-26 00:21:21,0,4.11,26.22,1,18.76295,73.093491
2025-10-26 00:21:51,0,4.1,26.22,1,18.762949,73.093485
2025-10-26 00:22:21,0,4.11,26.22,1,18.762945,73.093489
2025-10-26 00:22:51,0,4.11,26.24,1,18.762956,73.093488
2025-10-26 00:23:21,0,4.1,26.22,1,18.762957,73.093507
2025-10-26 00:23:51,0,4.1,26.2,1,18.762939,73.093523
2025-10-26 00:24:21,0.51,4.11,26.24,1,18.762937,73.093522
2025-10-26 00:24:51,0,4.11,26.22,1,18.762925,73.093533
2025-10-26 00:25:21,0,4.11,26.2,1,18.762942,73.093514
2025-10-26 00:25:51,0,4.11,26.22,1,18.76296,73.093518
2025-10-26 00:26:21,0,4.1,26.2,1,18.762969,73.093516
2025-10-26 00:26:51,0,4.11,26.2,1,18.762964,73.09351
2025-10-26 00:27:21,0,4.1,26.22,1,18.762956,73.093507
2025-10-26 00:27:51,0,4.1,26.2,1,18.762956,73.093503
2025-10-26 00:28:21,0.59,4.11,26.17,1,18.762954,73.093505
2025-10-26 00:28:51,0,4.11,26.2,1,18.762952,73.093498
2025-10-26 00:29:21,0,4.11,26.17,1,18.762951,73.093495
2025-10-26 00:29:51,0,4.11,26.2,1,18.76295,73.093489
2025-10-26 00:30:21,0,4.11,26.22,1,18.76294,73.093498
2025-10-26 00:30:51,0,4.11,26.2,1,18.762939,73.093494
2025-10-26 00:31:21,0,4.11,26.2,1,18.762944,73.093489
2025-10-26 00:31:51,0,4.11,26.17,1,18.762947,73.093489
2025-10-26 00:32:21,0,4.11,26.17,1,18.762941,73.093502
2025-10-26 00:32:51,0,4.11,26.2,1,18.762935,73.093506
2025-10-26 00:33:21,0,4.11,26.2,1,18.762932,73.093505
2025-10-26 00:33:51,0,4.1,26.2,1,18.762929,73.093505
2025-10-26 00:34:21,0.42,4.1,26.2,1,18.762948,73.093503
2025-10-26 00:34:51,0,4.11,26.2,1,18.762962,73.093501
2025-10-26 00:35:21,0,4.11,26.17,1,18.762954,73.0935
2025-10-26 00:35:51,0,4.11,26.17,1,18.762949,73.093497
2025-10-26 00:36:21,0,4.1,26.17,1,18.762945,73.093491
2025-10-26 00:36:51,0,4.11,26.17,1,18.762944,73.093491
2025-10-26 00:37:21,0,4.11,26.17,1,18.76294,73.093494
2025-10-26 00:37:51,0,4.11,26.15,1,18.762943,73.093492
2025-10-26 00:38:21,0,4.11,26.17,1,18.762936,73.093511
2025-10-26 00:38:51,0,4.11,26.17,1,18.762935,73.093526
2025-10-26 00:39:21,0,4.11,26.17,1,18.762937,73.093517
2025-10-26 00:39:51,0,4.11,26.12,1,18.762947,73.09352
2025-10-26 00:40:21,0,4.11,26.17,1,18.762936,73.093511
2025-10-26 00:40:51,0,4.11,27.5,1,18.76294,73.09351
2025-10-26 00:41:21,0,4.11,28.08,1,18.762934,73.09351
2025-10-26 00:41:51,0,4.1,28.2,1,18.762936,73.093513
2025-10-26 00:42:21,0,4.1,28.17,1,18.762937,73.09351
2025-10-26 00:42:51,0,4.11,28.25,1,18.762933,73.09351
2025-10-26 00:43:21,0,4.1,28.32,1,18.762934,73.093508
2025-10-26 00:43:51,0,4.11,28.25,1,18.762926,73.093502
2025-10-26 00:44:21,0,4.1,28.22,1,18.762943,73.093489
2025-10-26 00:44:51,0,4.11,28.22,1,18.762942,73.093489
2025-10-26 00:45:21,0,4.1,28.22,1,18.76294,73.093488
2025-10-26 00:45:51,0,4.11,28.2,1,18.76294,73.093487
2025-10-26 00:46:21,0,4.1,28.17,1,18.762942,73.093489
2025-10-26 00:46:51,0,4.1,28.2,1,18.762935,73.093481
2025-10-26 00:47:21,0,4.11,28.25,1,18.762936,73.093491
2025-10-26 00:47:51,0,4.11,28.25,1,18.762926,73.093514
2025-10-26 00:48:21,0,4.11,28.25,1,18.762929,73.093536
2025-10-26 00:48:51,0,4.11,28.17,1,18.762926,73.093521
