time,speed,devbattery,carbattery,ignstatus,latitude,longitude
2025-10-26 00:00:10,0,4.11,25.26,1,27.362727,76.796338
2025-10-26 00:00:40,0,4.11,25.26,1,27.362738,76.796329
2025-10-26 00:01:10,0,4.11,25.26,1,27.362751,76.796323
2025-10-26 00:01:40,0,4.11,25.28,1,27.362766,76.796316
2025-10-26 00:02:10,0,4.11,25.26,1,27.362757,76.796326
2025-10-26 00:02:40,0,4.11,25.26,1,27.362746,76.796332
2025-10-26 00:03:10,0,4.11,25.26,1,27.362751,76.796323
2025-10-26 00:03:40,0,4.11,25.23,1,27.362761,76.796313
2025-10-26 00:04:10,0,4.11,25.26,1,27.362754,76.796316
2025-10-26 00:04:40,0,4.11,25.26,1,27.362755,76.796319
2025-10-26 00:05:10,0,4.11,25.26,1,27.362754,76.796321
2025-10-26 00:05:40,0,4.11,25.26,1,27.362744,76.796332
2025-10-26 00:06:10,0,4.11,25.28,1,27.36274,76.796334
2025-10-26 00:06:40,0,4.11,25.28,1,27.362745,76.796324
2025-10-26 00:07:10,0,4.11,25.28,1,27.362752,76.796314
2025-10-26 00:07:40,0,4.11,25.28,1,27.362749,76.796315
2025-10-26 00:08:10,0,4.11,25.26,1,27.362727,76.796323
2025-10-26 00:08:40,0,4.11,25.26,1,27.362718,76.796313
2025-10-26 00:09:10,0,4.11,25.28,1,27.362728,76.7963
2025-10-26 00:09:35,0,4.11,25.28,1,27.362725,76.796293
2025-10-26 00:10:05,0,4.11,25.28,1,27.362721,76.796303
2025-10-26 00:10:35,0,4.11,25.28,1,27.362725,76.796305
2025-10-26 00:11:05,0,4.11,25.28,1,27.362722,76.796306
2025-10-26 00:11:35,0,4.11,25.28,1,27.362726,76.796305
2025-10-26 00:12:05,0,4.11,25.28,1,27.362738,76.796299
2025-10-26 00:12:35,0,4.11,25.28,1,27.362736,76.796308
2025-10-26 00:13:05,0,4.11,25.28,1,27.362738,76.796314
2025-10-26 00:13:35,0,4.11,25.28,1,27.362736,76.796315
2025-10-26 00:14:05,0,4.11,25.28,1,27.36274,76.796308
2025-10-26 00:14:35,0,4.11,25.28,1,27.362744,76.796313
2025-10-26 00:15:05,0,4.11,25.31,1,27.362742,76.79632
2025-10-26 00:15:35,0,4.11,25.28,1,27.362727,76.796326
2025-10-26 00:16:05,0,4.11,25.28,1,27.362726,76.796336
2025-10-26 00:16:35,0,4.11,25.28,1,27.362727,76.796326
2025-10-26 00:17:05,0,4.11,25.28,1,27.36273,76.796335
2025-10-26 00:17:35,0,4.11,25.31,1,27.362752,76.79635
2025-10-26 00:18:05,0,4.11,25.28,1,27.362755,76.796339
2025-10-26 00:18:35,0,4.11,25.28,1,27.362753,76.796322
2025-10-26 00:19:05,0,4.11,25.28,1,27.362753,76.796316
2025-10-26 00:19:35,0,4.11,25.28,1,27.362759,76.79631
2025-10-26 00:20:05,0,4.11,25.28,1,27.36276,76.796305
2025-10-26 00:20:35,0,4.11,25.28,1,27.362751,76.796298
2025-10-26 00:21:05,0,4.11,25.28,1,27.362747,76.796302
2025-10-26 00:21:35,0,4.11,25.31,1,27.362742,76.796307
2025-10-26 00:22:05,0,4.11,25.31,1,27.362738,76.796307
2025-10-26 00:22:35,0,4.11,25.28,1,27.362746,76.796312
2025-10-26 00:23:05,0,4.11,25.31,1,27.362735,76.79631
2025-10-26 00:23:35,0,4.11,25.28,1,27.362735,76.796318
2025-10-26 00:24:05,0,4.11,25.28,1,27.36274,76.796321
2025-10-26 00:24:35,0,4.12,25.28,1,27.362736,76.796323
2025-10-26 00:25:05,0,4.11,25.28,1,27.362736,76.796331
2025-10-26 00:25:35,0,4.11,25.31,1,27.362737,76.796331
2025-10-26 00:26:05,0,4.11,25.26,1,27.362741,76.796323
2025-10-26 00:26:35,0,4.11,25.28,1,27.362746,76.796319
2025-10-26 00:27:05,0,4.11,25.28,1,27.362741,76.796315
2025-10-26 00:27:35,0,4.11,25.28,1,27.362733,76.796319
2025-10-26 00:28:05,0,4.11,25.28,1,27.362738,76.796326
2025-10-26 00:28:35,0,4.11,25.28,1,27.362735,76.79632
2025-10-26 00:29:05,0,4.11,25.28,1,27.362731,76.796323
2025-10-26 00:29:35,0,4.11,25.31,1,27.362726,76.796309
2025-10-26 00:30:05,0,4.11,25.31,1,27.362723,76.796313
2025-10-26 00:30:35,0,4.11,25.31,1,27.362724,76.796319
2025-10-26 00:31:05,0,4.12,25.31,1,27.362727,76.796315
2025-10-26 00:31:35,0,4.11,25.28,1,27.362731,76.796321
2025-10-26 00:32:05,0,4.11,25.31,1,27.362734,76.796319
2025-10-26 00:32:35,0,4.11,25.31,1,27.362728,76.7963
2025-10-26 00:33:05,0,4.11,25.31,1,27.362724,76.796288
2025-10-26 00:33:35,0,4.11,25.28,1,27.362734,76.796293
2025-10-26 00:34:05,0,4.11,25.28,1,27.362738,76.796302
2025-10-26 00:34:35,0,4.11,25.31,1,27.362738,76.796303
2025-10-26 00:35:05,0,4.11,25.31,1,27.362735,76.796297
2025-10-26 00:35:35,0,4.11,25.28,1,27.362738,76.796308
2025-10-26 00:36:05,0,4.11,25.28,1,27.362745,76.796309
2025-10-26 00:36:35,0,4.11,25.28,1,27.362757,76.796311
2025-10-26 00:37:05,0,4.12,25.31,1,27.362764,76.796319
2025-10-26 00:37:35,0,4.11,25.31,1,27.362761,76.796315
2025-10-26 00:38:05,0,4.11,25.28,1,27.362757,76.796306
2025-10-26 00:38:35,0,4.11,25.31,1,27.362758,76.796303
2025-10-26 00:39:05,0,4.11,25.28,1,27.362763,76.796298
2025-10-26 00:39:35,0,4.11,25.28,1,27.362761,76.796296
2025-10-26 00:40:05,0,4.11,25.31,1,27.362755,76.796299
2025-10-26 00:40:35,0,4.11,25.28,1,27.362748,76.796303
2025-10-26 00:41:05,0,4.11,25.28,1,27.362738,76.796311
2025-10-26 00:41:35,0,4.11,25.31,1,27.362738,76.796309
2025-10-26 00:42:05,0,4.11,25.31,1,27.362733,76.796301
2025-10-26 00:42:35,0,4.11,25.28,1,27.362733,76.796298
2025-10-26 00:43:05,0,4.11,25.28,1,27.362745,76.796288
2025-10-26 00:43:35,0,4.11,25.28,1,27.362748,76.796292
2025-10-26 00:44:05,0,4.11,25.28,1,27.362742,76.796307
2025-10-26 00:44:35,0,4.11,25.28,1,27.362738,76.796311
2025-10-26 00:45:05,0,4.11,25.28,1,27.362736,76.796305
2025-10-26 00:45:35,0,4.11,25.26,1,27.362738,76.796305
2025-10-26 00:46:05,0,4.11,25.28,1,27.362742,76.796307
2025-10-26 00:46:35,0,4.11,25.31,1,27.362736,76.796306
2025-10-26 00:47:05,0,4.11,25.31,1,27.362725,76.796308
2025-10-26 00:47:35,0,4.11,25.28,1,27.362727,76.796306
2025-10-26 00:48:05,0,4.11,25.28,1,27.36273,76.79631
2025-10-26 00:48:35,0,4.11,25.31,1,27.362731,76.796314
2025-10-26 00:49:05,0,4.11,25.31,1,27.362741,76.796314
2025-10-26 00:49:35,0,4.11,25.28,1,27.362741,76.796309
2025-10-26 00:50:05,0,4.11,25.28,1,27.362741,76.796314
2025-10-26 00:50:35,0,4.11,25.31,1,27.362733,76.796324
2025-10-26 00:51:05,0,4.11,25.31,1,27.362741,76.796315
2025-10-26 00:51:35,0,4.11,25.31,1,27.362748,76.796312
2025-10-26 00:52:05,0,4.11,25.31,1,27.362755,76.796316
2025-10-26 00:52:35,0,4.12,25.31,1,27.36276,76.796316
2025-10-26 00:53:05,0,4.11,25.33,1,27.362754,76.796305
2025-10-26 00:53:35,0,4.11,25.28,1,27.362744,76.796304
2025-10-26 00:54:05,0,4.11,25.31,1,27.362727,76.796304
2025-10-26 00:54:35,0,4.11,25.28,1,27.362727,76.796299
2025-10-26 00:55:05,0,4.11,25.31,1,27.362728,76.796286
2025-10-26 00:55:35,0,4.11,25.31,1,27.362738,76.796289
2025-10-26 00:56:05,0,4.11,25.31,1,27.362737,76.796294
2025-10-26 00:56:35,0,4.11,25.28,1,27.362734,76.796301
2025-10-26 00:57:05,0,4.11,25.28,1,27.362743,76.796311
2025-10-26 00:57:35,0,4.11,25.28,1,27.362744,76.796319
2025-10-26 00:58:05,0,4.11,25.28,1,27.362746,76.796313
2025-10-26 00:58:35,0,4.11,25.28,1,27.362747,76.796323
2025-10-26 00:59:05,0,4.11,25.31,1,27.362739,76.796336
2025-10-26 00:59:35,0,4.11,25.28,1,27.362726,76.796329
2025-10-26 01:00:05,0,4.11,25.28,1,27.362737,76.796337
2025-10-26 01:00:35,0,4.11,25.28,1,27.362741,76.796342
2025-10-26 01:01:05,0,4.11,25.28,1,27.362742,76.796341
2025-10-26 01:01:35,0,4.11,25.28,1,27.362738,76.796327
2025-10-26 01:02:05,0,4.11,25.28,1,27.362745,76.796323
2025-10-26 01:02:35,0,4.11,25.31,1,27.362746,76.796328
2025-10-26 01:03:05,0,4.11,25.28,1,27.362746,76.79633
2025-10-26 01:03:35,0,4.11,25.28,1,27.362744,76.79633
2025-10-26 01:04:05,0,4.12,25.31,1,27.362745,76.796327
2025-10-26 01:04:35,0,4.11,25.28,1,27.36274,76.79633
2025-10-26 01:05:05,0,4.11,25.26,1,27.362736,76.796335
2025-10-26 01:05:35,0,4.11,25.26,1,27.362724,76.796353
2025-10-26 01:06:05,0,4.11,25.28,1,27.362742,76.796352
2025-10-26 01:06:35,0,4.11,25.26,1,27.362752,76.79636
2025-10-26 01:07:05,0,4.11,25.26,1,27.362748,76.79636
2025-10-26 01:07:35,0,4.12,25.28,1,27.362737,76.796346
2025-10-26 01:08:05,0,4.12,25.26,1,27.362729,76.796338
2025-10-26 01:08:35,0,4.11,25.28,1,27.362725,76.79634
2025-10-26 01:09:05,0,4.11,25.28,1,27.362721,76.796344
2025-10-26 01:09:35,0,4.12,25.28,1,27.362726,76.796339
2025-10-26 01:10:05,0,4.11,25.28,1,27.362717,76.796343
2025-10-26 01:10:35,0,4.11,25.26,1,27.362718,76.796331
2025-10-26 01:11:05,0,4.11,25.28,1,27.362726,76.796308
2025-10-26 01:11:35,0,4.12,25.28,1,27.362724,76.796292
2025-10-26 01:12:05,0,4.11,25.28,1,27.362715,76.796284
2025-10-26 01:12:35,0,4.11,25.28,1,27.362719,76.796292
2025-10-26 01:13:05,0,4.11,25.26,1,27.362722,76.796289
2025-10-26 01:13:35,0,4.11,25.28,1,27.36272,76.796291
2025-10-26 01:14:05,0,4.11,25.26,1,27.362725,76.796286
2025-10-26 01:14:35,0,4.11,25.28,1,27.362732,76.796285
2025-10-26 01:15:05,0,4.11,25.31,1,27.362742,76.79629
2025-10-26 01:15:35,0,4.12,25.28,1,27.362736,76.796282
2025-10-26 01:16:05,0,4.11,25.28,1,27.362745,76.796277
2025-10-26 01:16:35,0,4.11,25.28,1,27.362754,76.796282
2025-10-26 01:17:05,0,4.11,25.28,1,27.362758,76.796282
2025-10-26 01:17:35,0,4.12,25.31,1,27.362751,76.79629
2025-10-26 01:18:05,0,4.11,25.28,1,27.362755,76.796297
2025-10-26 01:18:35,0,4.11,25.31,1,27.362757,76.796308
2025-10-26 01:19:05,0,4.11,25.28,1,27.362761,76.796313
2025-10-26 01:19:35,0,4.11,25.28,1,27.362764,76.796303
2025-10-26 01:20:05,0,4.11,25.28,1,27.362762,76.796299
2025-10-26 01:20:35,0,4.11,25.28,1,27.36276,76.7963
2025-10-26 01:21:05,0,4.11,25.28,1,27.362761,76.796299
2025-10-26 01:21:35,0,4.11,25.28,1,27.362751,76.796297
2025-10-26 01:22:05,0,4.11,25.28,1,27.36274,76.796303
2025-10-26 01:22:35,0,4.12,25.28,1,27.362736,76.796304
2025-10-26 01:23:05,0,4.11,25.28,1,27.362739,76.796299
2025-10-26 01:23:35,0,4.11,25.28,1,27.362731,76.796299
2025-10-26 01:24:05,0,4.11,25.28,1,27.362733,76.796302
2025-10-26 01:24:35,0,4.11,25.28,1,27.362734,76.796305
2025-10-26 01:25:05,0,4.11,25.26,1,27.362733,76.796308
2025-10-26 01:25:35,0,4.11,25.28,1,27.362734,76.796306
